"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length.SQRT"
"1",5.1,3.5,1.4,0.2,"Iris-setosa",2.25831795812724
"2",4.9,3,1.4,0.2,"Iris-setosa",2.21359436211787
"3",4.7,3.2,1.3,0.2,"Iris-setosa",2.16794833886788
"4",4.6,3.1,1.5,0.2,"Iris-setosa",2.14476105895272
"5",5,3.6,1.4,0.2,"Iris-setosa",2.23606797749979
"6",5.4,3.9,1.7,0.4,"Iris-setosa",2.32379000772445
"7",4.6,3.4,1.4,0.3,"Iris-setosa",2.14476105895272
"8",5,3.4,1.5,0.2,"Iris-setosa",2.23606797749979
"9",4.4,2.9,1.4,0.2,"Iris-setosa",2.0976176963403
"10",4.9,3.1,1.5,0.1,"Iris-setosa",2.21359436211787
"11",5.4,3.7,1.5,0.2,"Iris-setosa",2.32379000772445
"12",4.8,3.4,1.6,0.2,"Iris-setosa",2.19089023002066
"13",4.8,3,1.4,0.1,"Iris-setosa",2.19089023002066
"14",4.3,3,1.1,0.1,"Iris-setosa",2.07364413533277
"15",5.8,4,1.2,0.2,"Iris-setosa",2.40831891575846
"16",5.7,4.4,1.5,0.4,"Iris-setosa",2.38746727726266
"17",5.4,3.9,1.3,0.4,"Iris-setosa",2.32379000772445
"18",5.1,3.5,1.4,0.3,"Iris-setosa",2.25831795812724
"19",5.7,3.8,1.7,0.3,"Iris-setosa",2.38746727726266
"20",5.1,3.8,1.5,0.3,"Iris-setosa",2.25831795812724
"21",5.4,3.4,1.7,0.2,"Iris-setosa",2.32379000772445
"22",5.1,3.7,1.5,0.4,"Iris-setosa",2.25831795812724
"23",4.6,3.6,1,0.2,"Iris-setosa",2.14476105895272
"24",5.1,3.3,1.7,0.5,"Iris-setosa",2.25831795812724
"25",4.8,3.4,1.9,0.2,"Iris-setosa",2.19089023002066
"26",5,3,1.6,0.2,"Iris-setosa",2.23606797749979
"27",5,3.4,1.6,0.4,"Iris-setosa",2.23606797749979
"28",5.2,3.5,1.5,0.2,"Iris-setosa",2.28035085019828
"29",5.2,3.4,1.4,0.2,"Iris-setosa",2.28035085019828
"30",4.7,3.2,1.6,0.2,"Iris-setosa",2.16794833886788
"31",4.8,3.1,1.6,0.2,"Iris-setosa",2.19089023002066
"32",5.4,3.4,1.5,0.4,"Iris-setosa",2.32379000772445
"33",5.2,4.1,1.5,0.1,"Iris-setosa",2.28035085019828
"34",5.5,4.2,1.4,0.2,"Iris-setosa",2.34520787991171
"35",4.9,3.1,1.5,0.1,"Iris-setosa",2.21359436211787
"36",5,3.2,1.2,0.2,"Iris-setosa",2.23606797749979
"37",5.5,3.5,1.3,0.2,"Iris-setosa",2.34520787991171
"38",4.9,3.1,1.5,0.1,"Iris-setosa",2.21359436211787
"39",4.4,3,1.3,0.2,"Iris-setosa",2.0976176963403
"40",5.1,3.4,1.5,0.2,"Iris-setosa",2.25831795812724
"41",5,3.5,1.3,0.3,"Iris-setosa",2.23606797749979
"42",4.5,2.3,1.3,0.3,"Iris-setosa",2.12132034355964
"43",4.4,3.2,1.3,0.2,"Iris-setosa",2.0976176963403
"44",5,3.5,1.6,0.6,"Iris-setosa",2.23606797749979
"45",5.1,3.8,1.9,0.4,"Iris-setosa",2.25831795812724
"46",4.8,3,1.4,0.3,"Iris-setosa",2.19089023002066
"47",5.1,3.8,1.6,0.2,"Iris-setosa",2.25831795812724
"48",4.6,3.2,1.4,0.2,"Iris-setosa",2.14476105895272
"49",5.3,3.7,1.5,0.2,"Iris-setosa",2.30217288664427
"50",5,3.3,1.4,0.2,"Iris-setosa",2.23606797749979
"51",7,3.2,4.7,1.4,"Iris-versicolor",2.64575131106459
"52",6.4,3.2,4.5,1.5,"Iris-versicolor",2.5298221281347
"53",6.9,3.1,4.9,1.5,"Iris-versicolor",2.62678510731274
"54",5.5,2.3,4,1.3,"Iris-versicolor",2.34520787991171
"55",6.5,2.8,4.6,1.5,"Iris-versicolor",2.54950975679639
"56",5.7,2.8,4.5,1.3,"Iris-versicolor",2.38746727726266
"57",6.3,3.3,4.7,1.6,"Iris-versicolor",2.50998007960223
"58",4.9,2.4,3.3,1,"Iris-versicolor",2.21359436211787
"59",6.6,2.9,4.6,1.3,"Iris-versicolor",2.56904651573303
"60",5.2,2.7,3.9,1.4,"Iris-versicolor",2.28035085019828
"61",5,2,3.5,1,"Iris-versicolor",2.23606797749979
"62",5.9,3,4.2,1.5,"Iris-versicolor",2.42899156029822
"63",6,2.2,4,1,"Iris-versicolor",2.44948974278318
"64",6.1,2.9,4.7,1.4,"Iris-versicolor",2.46981780704569
"65",5.6,2.9,3.6,1.3,"Iris-versicolor",2.36643191323985
"66",6.7,3.1,4.4,1.4,"Iris-versicolor",2.58843582110896
"67",5.6,3,4.5,1.5,"Iris-versicolor",2.36643191323985
"68",5.8,2.7,4.1,1,"Iris-versicolor",2.40831891575846
"69",6.2,2.2,4.5,1.5,"Iris-versicolor",2.48997991959775
"70",5.6,2.5,3.9,1.1,"Iris-versicolor",2.36643191323985
"71",5.9,3.2,4.8,1.8,"Iris-versicolor",2.42899156029822
"72",6.1,2.8,4,1.3,"Iris-versicolor",2.46981780704569
"73",6.3,2.5,4.9,1.5,"Iris-versicolor",2.50998007960223
"74",6.1,2.8,4.7,1.2,"Iris-versicolor",2.46981780704569
"75",6.4,2.9,4.3,1.3,"Iris-versicolor",2.5298221281347
"76",6.6,3,4.4,1.4,"Iris-versicolor",2.56904651573303
"77",6.8,2.8,4.8,1.4,"Iris-versicolor",2.60768096208106
"78",6.7,3,5,1.7,"Iris-versicolor",2.58843582110896
"79",6,2.9,4.5,1.5,"Iris-versicolor",2.44948974278318
"80",5.7,2.6,3.5,1,"Iris-versicolor",2.38746727726266
"81",5.5,2.4,3.8,1.1,"Iris-versicolor",2.34520787991171
"82",5.5,2.4,3.7,1,"Iris-versicolor",2.34520787991171
"83",5.8,2.7,3.9,1.2,"Iris-versicolor",2.40831891575846
"84",6,2.7,5.1,1.6,"Iris-versicolor",2.44948974278318
"85",5.4,3,4.5,1.5,"Iris-versicolor",2.32379000772445
"86",6,3.4,4.5,1.6,"Iris-versicolor",2.44948974278318
"87",6.7,3.1,4.7,1.5,"Iris-versicolor",2.58843582110896
"88",6.3,2.3,4.4,1.3,"Iris-versicolor",2.50998007960223
"89",5.6,3,4.1,1.3,"Iris-versicolor",2.36643191323985
"90",5.5,2.5,4,1.3,"Iris-versicolor",2.34520787991171
"91",5.5,2.6,4.4,1.2,"Iris-versicolor",2.34520787991171
"92",6.1,3,4.6,1.4,"Iris-versicolor",2.46981780704569
"93",5.8,2.6,4,1.2,"Iris-versicolor",2.40831891575846
"94",5,2.3,3.3,1,"Iris-versicolor",2.23606797749979
"95",5.6,2.7,4.2,1.3,"Iris-versicolor",2.36643191323985
"96",5.7,3,4.2,1.2,"Iris-versicolor",2.38746727726266
"97",5.7,2.9,4.2,1.3,"Iris-versicolor",2.38746727726266
"98",6.2,2.9,4.3,1.3,"Iris-versicolor",2.48997991959775
"99",5.1,2.5,3,1.1,"Iris-versicolor",2.25831795812724
"100",5.7,2.8,4.1,1.3,"Iris-versicolor",2.38746727726266
"101",6.3,3.3,6,2.5,"Iris-virginica",2.50998007960223
"102",5.8,2.7,5.1,1.9,"Iris-virginica",2.40831891575846
"103",7.1,3,5.9,2.1,"Iris-virginica",2.66458251889485
"104",6.3,2.9,5.6,1.8,"Iris-virginica",2.50998007960223
"105",6.5,3,5.8,2.2,"Iris-virginica",2.54950975679639
"106",7.6,3,6.6,2.1,"Iris-virginica",2.75680975041804
"107",4.9,2.5,4.5,1.7,"Iris-virginica",2.21359436211787
"108",7.3,2.9,6.3,1.8,"Iris-virginica",2.70185121722126
"109",6.7,2.5,5.8,1.8,"Iris-virginica",2.58843582110896
"110",7.2,3.6,6.1,2.5,"Iris-virginica",2.68328157299975
"111",6.5,3.2,5.1,2,"Iris-virginica",2.54950975679639
"112",6.4,2.7,5.3,1.9,"Iris-virginica",2.5298221281347
"113",6.8,3,5.5,2.1,"Iris-virginica",2.60768096208106
"114",5.7,2.5,5,2,"Iris-virginica",2.38746727726266
"115",5.8,2.8,5.1,2.4,"Iris-virginica",2.40831891575846
"116",6.4,3.2,5.3,2.3,"Iris-virginica",2.5298221281347
"117",6.5,3,5.5,1.8,"Iris-virginica",2.54950975679639
"118",7.7,3.8,6.7,2.2,"Iris-virginica",2.77488738510232
"119",7.7,2.6,6.9,2.3,"Iris-virginica",2.77488738510232
"120",6,2.2,5,1.5,"Iris-virginica",2.44948974278318
"121",6.9,3.2,5.7,2.3,"Iris-virginica",2.62678510731274
"122",5.6,2.8,4.9,2,"Iris-virginica",2.36643191323985
"123",7.7,2.8,6.7,2,"Iris-virginica",2.77488738510232
